Business Name,Address (in full),Post Code,Location,Mobile Number,Business Number,Email (if known),Website (if known)
,,,,,,,
Healthland,510 Murray St Perth WA 6000,6000,WA,0426 610 881,,,
Piyawat Thai Massage East Perth,81 Bennett St East Perth WA 6004,6004,WA,,9221 8842,piyawatthailand@gmail.com,
House of Siam,1297 Hay St West Perth WA 6005,6005,WA,0412 808 833,,,
Esquire Spa and Massage,11 Aberdeen St Perth WA 6000,6017,WA,,9325 2011,info@esquirespaandmassage.com,
Body Heat Massage,62 Gordon Rd East Osborne Park WA 6017,6017,WA,0456 665 012,,,
Tonic Massage Clinic,191C Scarborough Beach Rd Doubleview WA 6018,6018,WA,0401 159 981,,,
Piyawat Thai Massage,"Unit 3, 361-367 Albany Hwy Victoria Park WA 6100",6100,WA,,9472 0081,piyawatthailand@gmail.com,
Airin Traditional Thai Massage,"Unit 3, 714 Albany Hwy East Victoria Park WA 6101",6101,WA,,6238 2181,,
Pure Essence Massage,"Unit 4, 1336 Albany Hwy Cannington WA 6107",6107,WA,,9356 2805,,
Golden Massage Hong Kong,298 Railway Pde East Cannington WA 6107,6107,WA,0411 701 972,,,
Sukko Thai Massage,19 Lynwood Ave Lynwood WA 6147,6147,WA,0450 165 202,,,
